team1,team2,score,date
Japan,Australia,,
United States,Colombia,,
AS Roma,FC Porto,,
Bodo/Glimt,FC Twente,,
FCSB,PAOK Salonika,,
Galatasaray,AZ Alkmaar,,
Ajax Amsterdam,Union St.-Gilloise,,
Anderlecht,Fenerbahce,,
Real Sociedad,FC Midtjylland,,
Viktoria Plzen,Ferencvaros,,
1. FC Heidenheim 1846,F.C. København,,
Olimpija Ljubljana,Borac Banja Luka,,
Pafos,Omonia Nicosia,,
Real Betis,KAA Gent,,
Apoel Nicosia,NK Celje,,
Jagiellonia Bialystok,FK TSC,,
Panathinaikos,Vikingur Reykjavik,,
Shamrock Rovers,Molde,,
Saprissa,Vancouver Whitecaps,,
South Korea,Uzbekistan,,
Al Fateh,Al Orobah,,
Al Fayha,Al Khaleej,,
Al Riyadh,Al Raed,,
Monagas SC,Cerro Porteño,,
Deportes Tolima,Melgar,,
Jeonbuk Motors,Port,,
Lion City Sailors,Muangthong United,,
Correcaminos,Dorados de Sinaloa,,
Racing Club,Botafogo,,
Rio Branco (Venda Nova),Amazonas,,
Olaria,ABC,,
Red Bull Bragantino,Mirassol,,
Palmeiras,Botafogo SP,,
Portuguesa,São Bernardo,,
Monsoon,Ypiranga,,
São Luiz-RS,Guarany de Bagé,,
Unión Magdalena,Millonarios,,
Mohammedan SC,Jamshedpur FC,,
Katsina United,Enyimba,,
Remo Stars,Kwara United,,
Mathare United,Police,,
Bidco United,Gor Mahia,,
